地区名,センター,燃えるごみ,燃えないごみ,空びん,資源物
垣鼻町２区 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
垣鼻町３区 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
垣鼻町４区 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
垣鼻里中町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
垣鼻町田尻 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
垣鼻中央町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
春日町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
鎌田朝日町１ ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
鎌田朝日町２ ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
鎌田北町 ,旧松阪市,火 金,木,20150220 20150320 20150423 20150522 20150619 20150717 20150821 20150918,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
鎌田栄町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
鎌田昭和町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
鎌田本里 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
上川町 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
上川町県営第２団地,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
上川雇用促進住宅 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
上川町新田 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
上川住宅 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
上久保町 ,旧松阪市,月 木,金,20150219 20150311 20150408 20150516 20150613 20150711 20150805 20150912,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
粥田団地 ,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,金2
川井町 ,旧松阪市,火 金,木,20150220 20150320 20150423 20150522 20150619 20150717 20150821 20150918,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
川井町すみれ ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
川井町西 ,旧松阪市,火 金,木,20150220 20150320 20150423 20150522 20150619 20150717 20150821 20150918,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
通り上川町 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
機殿地区全自治会 ,旧松阪市,月 木,水,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150228 20150325 20150425 20150530 20150627 20150725 20150829 20150926
京町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
京町１区 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
櫛田町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
